Planet Name
HD 153557 d
bet Cnc b
Kepler-1259 b
ups And c
Kepler-410 A b
Kepler-19 b
Kepler-729 b
Qatar-9 b
HD 189567 b
Kepler-1451 b
Kepler-556 b
Kepler-580 b
TOI-201 b
Kepler-413 b
OGLE-2017-BLG-1375L b
WASP-172 b
HD 158259 d
Kepler-398 c
Kepler-215 b
Kepler-68 e
Kepler-1669 d
Kepler-1170 b
Kepler-1956 b
KMT-2019-BLG-0371L b
HD 105779 b
K2-4 b
Kepler-1219 b
Kepler-46 d
Kepler-1285 b
HD 190007 b
HD 110537 b
HD 11112 b
Kepler-25 d
Kepler-1746 b
Kepler-812 b
Kepler-134 c
Kepler-120 b
Kepler-602 b
HD 189567 c
Kepler-719 b
Kepler-244 c
K2-255 b
KMT-2021-BLG-1391L b
HD 150706 b
Kepler-880 c
Kepler-358 c
HAT-P-59 b
OGLE-2016-BLG-1093 b
Kepler-782 b
CoRoTID 223977153 b
TOI-561 c
MOA-2011-BLG-028L b
Kepler-1207 b
Kepler-625 b
K2-346 b
Kepler-1700 b
Kepler-282 e
HD 29021 b
TOI-1296 b
Kepler-1423 b
TOI-558 b
Kepler-629 b
Kepler-244 d
HAT-P-5 b
Kepler-334 b
Kepler-1353 b
TOI-411 b
Kepler-983 b
Kepler-1181 c
Kepler-244 b
Kepler-1469 b
Kepler-1075 b
LHS 1815 b
HD 18599 b
HR 2562 b
TOI-2406 b
TOI-969 b
Kepler-1483 b
TOI-2095 c
K2-187 d
HIP 41378 c
Kepler-199 b
HATS-58 A b
K2-39 b
HAT-P-55 b
Kepler-80 b
GJ 3473 b
LP 890-9 b
EPIC 206042996 c
OGLE-2018-BLG-1011L b
Kepler-436 b
HATS-32 b
Kepler-1110 b
CoRoT-13 b
HD 208487 b
HD 42618 b
Kepler-192 d
Kepler-887 c
Kepler-203 b
Kepler-1783 b
Kepler-437 b
Kepler-1510 b
Kepler-1948 b
HD 212301 b
Kepler-496 b
CHXR 73 b
Kepler-1788 b
Kepler-123 c
Kepler-424 c
TOI-2076 b
TOI-2427 b
HD 18143 b
Kepler-282 d
Kepler-281 d
Kepler-1254 c
Kepler-1892 b
Kepler-360 b
Kepler-920 b
Kepler-783 b
WASP-126 c
Kepler-1175 b
HATS-48 A b
HATS-16 b
TOI-833 b
Kepler-1223 b
CoRoT-29 b
Kepler-1541 b
Kepler-305 e
Kepler-187 b
TOI-4308 b
Kepler-239 b
Kepler-1015 b
K2-217 b
Kepler-453 b
Kepler-237 c
Kepler-2001 b
WASP-120 b
K2-322 b
OGLE-2013-BLG-1761L b
K2-6 b
UZ For c
Kepler-708 b
GJ 1061 d
KELT-21 b
Kepler-1311 c
Kepler-1009 b
HD 16141 b
Kepler-1373 b
WASP-144 b
HD 107148 b
WASP-145 A b
HD 10180 e
WASP-47 b
NN Ser d
EPIC 249893012 c
TRAPPIST-1 e
WASP-83 b
Kepler-1449 b
Kepler-46 b
Kepler-481 b
Kepler-124 d
Kepler-1859 b
Kepler-1129 b
HD 220773 b
K2-206 b
KOI-4777.01
Kepler-156 c
Kepler-271 c
HD 175607 b
Kepler-1264 b
Kepler-138 e
Kepler-1912 b
Kepler-862 b
HD 98219 b
HD 109271 b
OGLE-2018-BLG-1126L b
Kepler-711 b
bet Pic b
Kepler-501 c
K2-282 b
Kepler-1814 c
Kepler-462 c
Kepler-1196 b
Kepler-1468 d
TOI-1685 b
Kepler-1080 b
HD 184010 b
WASP-39 b
K2-253 b
Kepler-1895 b
HATS-45 b
DMPP-1 c
Kepler-922 b
Kepler-1919 b
HD 203387 c
K2-181 b
K2-165 d
Kepler-1154 b
Kepler-969 c
K2-315 b
K2-368 c
KELT-4 A b
WASP-148 c
RR Cae b
HATS-25 b
Kepler-1907 b
Kepler-1277 b
HD 217786 c
gam Lib c
Kepler-277 b
K2-146 c
Kepler-212 c
TOI-178 g
Kepler-114 d
HD 330075 b
HATS-77 b
K2-239 b
HD 62364 c
Kepler-1016 c
NGTS-10 b
HD 15906 b
Kepler-1365 b
HD 147873 c
Kepler-1336 b
Kepler-166 c
Kepler-1019 b
Kepler-215 c
Kepler-1838 b
Kepler-221 e
Kepler-587 b
Kepler-157 d
Kepler-522 b
TOI-178 f
V1298 Tau b
Kepler-29 b
KMT-2021-BLG-1689L b
Kepler-882 b
HATS-13 b
Kepler-1410 b
Kepler-371 c
Kepler-182 c
Kepler-475 b
HD 208527 b
HD 11506 b
CoRoT-19 b
TOI-620 b
Kepler-219 c
Kepler-1038 b
Kepler-24 c
Kepler-1906 b
Kepler-864 c
Kepler-279 d
OGLE-2019-BLG-0299L b
Kepler-1765 b
Kepler-144 b
Kepler-537 b
K2-391 b
HD 4732 b
Kepler-1754 b
Kepler-1021 b
Kepler-144 c
Kepler-509 b
Kepler-228 b
GJ 357 d
Kepler-304 b
Kepler-850 b
HD 79181 b
Kepler-17 b
KIC 10525077 b
Kepler-908 b
EPIC 220492298 b
Kepler-607 b
TrES-4 b
TOI-677 b
Kepler-529 c
TOI-1201 b
Kepler-415 b
GJ 581 c
Kepler-1052 b
KIC 5951458 b
Kepler-1777 b
Kepler-369 c
Kepler-172 d
Kepler-68 b
K2-194 b
HATS-24 b
Kepler-235 e
HD 27631 b
Kepler-1853 b
Kepler-1899 b
TIC 172900988 b
WASP-48 b
Kepler-1968 b
Kepler-243 c
K2-210 b
HD 135872 b
Kepler-1582 b
81 Cet b
HD 12235 c
Kepler-292 c
Kepler-338 c
GJ 3929 b
Kepler-1921 c
K2-137 b
Kepler-226 d
Kepler-301 b
HATS-30 b
K2-202 b
GJ 504 b
Kepler-221 c
TOI-2000 c
K2-400 b
K2-57 b
HD 97037 b
HD 20781 d
KMT-2021-BLG-0119L b
Kepler-1412 b
Kepler-1804 b
Kepler-60 b
Kepler-106 b
Kepler-225 b
HAT-P-31 b
Kepler-314 b
K2-336 b
Kepler-1639 b
OGLE-2018-BLG-0962L b
TOI-559 b
HD 103891 b
Kepler-245 d
Kepler-163 b
K2-266 b
Kepler-569 b
Pr0211 c
TOI-3629 b
Kepler-339 d
HD 194490 b
K2-85 b
TOI-1130 c
Kepler-417 c
Kepler-1380 b
Kepler-877 b
Kepler-759 b
Kepler-832 b
TOI-481 b
HAT-P-53 b
HIP 86221 b
Kepler-352 d
TOI-1278 b
Kepler-979 b
TOI-530 b
Kepler-907 b
HAT-P-38 b
Kepler-788 b
TOI-2669 b
Kepler-1466 b
Kepler-1813 b
TOI-2194 b
K2-190 b
HD 152843 b
Kepler-416 d
TOI-2525 b
Kepler-1120 b
HD 145934 b
Kepler-275 b
Kepler-141 c
Kepler-1539 b
Kepler-426 b
Kepler-683 b
TOI-4087 b
Kepler-363 b
Kepler-792 b
Kepler-1416 b
K2-220 b
LP 714-47 b
Kepler-826 b
CoRoT-7 d
KMT-2016-BLG-1820L b
K2-242 b
Kepler-1342 b
HIP 38594 c
